started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-12-01 11:31:56.976000+00:00,2024-12-01 11:42:07.266000+00:00,610,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547
2024-12-01 11:32:08.146000+00:00,2024-12-01 11:34:22.835000+00:00,134,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408096993005785,5.325510899047174,811,Amalie Skrams vei Nord,Amalie Skrams vei 25,60.410929182460585,5.324662770153282
2024-12-01 11:35:51.828000+00:00,2024-12-01 11:41:13.998000+00:00,322,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-12-01 11:38:53.932000+00:00,2024-12-01 11:45:49.795000+00:00,415,212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2024-12-01 11:52:57.467000+00:00,2024-12-01 11:57:51.415000+00:00,293,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 12:04:59.567000+00:00,2024-12-01 12:08:36.942000+00:00,217,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-12-01 12:09:09.427000+00:00,2024-12-01 12:12:02.951000+00:00,173,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-12-01 12:17:45.563000+00:00,2024-12-01 12:23:42.567000+00:00,357,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-12-01 12:19:10.930000+00:00,2024-12-01 12:24:20.068000+00:00,309,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935
2024-12-01 12:22:53.458000+00:00,2024-12-01 12:36:58.501000+00:00,845,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504
